Name,Constituency,National Party,European Parliament Group,Website,European Parliament Profile,Twitter,Facebook
Linda McAvan,Yorkshire and the Humber,Labour Party,S&D,http://www.lindamcavanmep.org.uk/,http://www.europarl.europa.eu/meps/en/2327/LINDA_MCAVAN_home.html,https://twitter.com/LindaMcAvanMEP,https://www.facebook.com/linda.mcavan
Richard Corbett,Yorkshire and the Humber,Labour Party,S&D,https://www.richardcorbett.org.uk/,http://www.europarl.europa.eu/meps/en/2309/RICHARD_CORBETT_home.html,https://twitter.com/RCorbettMEP,https://www.facebook.com/rcorbett
Catherine Bearder,South East England,Liberal Democrats,ALDE,http://www.bearder.eu/,http://www.europarl.europa.eu/meps/en/96955/CATHERINE_BEARDER_home.html,https://twitter.com/catherinemep,https://www.facebook.com/catherinebeardermep/
Jill Evans,Wales,Plaid Cymru,Greens–EFA,http://www.jillevans.net/,http://www.europarl.europa.eu/meps/en/4550/JILL_EVANS_home.html,https://twitter.com/JillEvansMEP,https://www.facebook.com/Jill-Evans-ASEMEP-297073923675496/
Alyn Smith,Scotland,Scottish National Party,Greens–EFA,https://www.alynsmith.eu/,http://www.europarl.europa.eu/meps/en/28508/ALYN_SMITH_home.html,https://twitter.com/AlynSmith,https://www.facebook.com/alynsmithSNP
Ian Hudghton,Scotland,Scottish National Party,Greens–EFA,http://www.hudghtonmep.scot/,http://www.europarl.europa.eu/meps/en/2338/IAN_HUDGHTON_home.html,https://twitter.com/hudghtonmepSNP,
Martina Anderson,Northern Ireland,Sinn Féin,EUL-NGL,http://martinamep.eu/,http://www.europarl.europa.eu/meps/en/113959/MARTINA_ANDERSON_home.html,https://twitter.com/M_AndersonSF,https://www.facebook.com/MartinaSFEurope
Margot Parker,East Midlands,UK Independence Party,EFDD,http://www.margotparkermep.uk/,http://www.europarl.europa.eu/meps/en/124945/MARGOT_PARKER_home.html,https://twitter.com/MargotLJParker,https://www.facebook.com/margot.parker.3
Jonathan Bullock,East Midlands,UK Independence Party,EFDD,http://www.jonathanbullockmep.uk/,http://www.europarl.europa.eu/meps/en/188733/JONATHAN_BULLOCK_home.html,https://twitter.com/JonathanMEP,
Patrick O'Flynn,East of England,UK Independence Party,EFDD,http://patrickoflynn.co.uk/,http://www.europarl.europa.eu/meps/en/124940/PATRICK_O%27FLYNN_home.html,https://twitter.com/oflynnmep,
Tim Aker,East of England,UK Independence Party,EFDD,http://www.timakermep.org/,http://www.europarl.europa.eu/meps/en/99650/TIM_AKER_home.html,https://twitter.com/Tim_Aker,https://www.facebook.com/TimAkerMEP
Stuart Agnew,East of England,UK Independence Party,EFDD,http://www.stuartagnewmep.co.uk/,http://www.europarl.europa.eu/meps/en/96897/JOHN+STUART_AGNEW_home.html,,
Gerard Batten,London,UK Independence Party,EFDD,https://gerardbattenmep.co.uk/,http://www.europarl.europa.eu/meps/en/28497/GERARD_BATTEN_home.html,https://twitter.com/GerardBattenMEP,
Paul Nuttall,North West England,UK Independence Party,EFDD,http://www.paulnuttallmep.com/,http://www.europarl.europa.eu/meps/en/96805/PAUL_NUTTALL_home.html,https://twitter.com/paulnuttallukip,
Louise Bours,North West England,UK Independence Party,EFDD,http://www.louiseboursmep.co.uk/,http://www.europarl.europa.eu/meps/en/124964/LOUISE_BOURS_home.html,https://twitter.com/LouiseBoursUKIP,
David Coburn,Scotland,UK Independence Party,EFDD,https://www.davidcoburnmep.co.uk/,http://www.europarl.europa.eu/meps/en/124967/DAVID_COBURN_home.html,https://twitter.com/DavidCoburnUKip,https://www.facebook.com/DavidCoburnMEP/
Ray Finch,South East England,UK Independence Party,EFDD,https://www.rayfinchmep.com/,http://www.europarl.europa.eu/meps/en/124941/RAYMOND_FINCH_home.html,https://twitter.com/raymondfinch,
Nigel Farage,South East England,UK Independence Party,EFDD,http://nigelfaragemep.co.uk/,http://www.europarl.europa.eu/meps/en/4525/NIGEL_FARAGE_home.html,https://twitter.com/Nigel_Farage,https://www.facebook.com/nigelfarageofficial
Julia Reid,South West England,UK Independence Party,EFDD,http://juliareid.co.uk/,http://www.europarl.europa.eu/meps/en/106202/JULIA_REID_home.html,https://twitter.com/julia_reid,https://www.facebook.com/DrJuliaReidUKIP
William Legge,South West England,UK Independence Party,EFDD,http://www.williamdartmouth.com/,http://www.europarl.europa.eu/meps/en/96958/WILLIAM_%28THE+EARL+OF%29+DARTMOUTH_home.html,,
Nathan Gill,Wales,UK Independence Party,EFDD,http://nathangill.wales/,http://www.europarl.europa.eu/meps/en/124965/NATHAN_GILL_home.html,https://twitter.com/NathanGillMEP,https://www.facebook.com/pg/NathanGillOfficial
Jill Seymour,West Midlands,UK Independence Party,EFDD,http://jillseymourukip.org/,http://www.europarl.europa.eu/meps/en/124950/JILL_SEYMOUR_home.html,https://twitter.com/JSeymourUKIP,https://www.facebook.com/JillSeymourUKIP
Bill Etheridge,West Midlands,UK Independence Party,EFDD,https://www.billetheridge.co.uk/,http://www.europarl.europa.eu/meps/en/124951/BILL_ETHERIDGE_home.html,https://twitter.com/BillieveInBill,
Mike Hookem,Yorkshire and the Humber,UK Independence Party,EFDD,http://mike-hookem.org/,http://www.europarl.europa.eu/meps/en/124957/MIKE_HOOKEM_home.html,https://twitter.com/mikehookemmep,
Jane Collins,Yorkshire and the Humber,UK Independence Party,EFDD,http://www.jane-collins.org/,http://www.europarl.europa.eu/meps/en/124955/JANE_COLLINS_home.html,https://twitter.com/Jane_CollinsMEP,https://www.facebook.com/Jane-Collins-1618517411713104/
Jim Nicholson,Northern Ireland,Ulster Unionist Party,ECR,http://www.jim-nicholson.eu/,http://www.europarl.europa.eu/meps/en/1318/JAMES_NICHOLSON_home.html,https://twitter.com/JNicholsonMEP,
